# 200  listings in All Downtown or All Midtown  																										
URI	Unit Type	Price	Status	Neighborhood	Level One Area	Level Two Area	Address	Unit	City	ZIP	State	Building	Sqft	Bedrooms	Baths	Total Rooms	Maintenance	Taxes	Created At	Closed At	Days on Market	Source	Listing Agent Names	Closing Price	Tax Abatement Type	Tax Abatement Expiration
http://streeteasy.com/rental/1506660	Rental Unit	4000	Current	Chelsea	Manhattan	All Downtown	172 8 ave	#2	Manhattan	10011	NY	172 Eighth Avenue in Chelsea	990	2	1	4			9-Apr-15		0	Lofren Proust	Jean Kersaint			
http://streeteasy.com/rental/1506656	Rental Unit	3000	Current	Midtown West	Manhattan	All Midtown	721 Ninth Avenue	#2	Manhattan	10019	NY	721 Ninth Avenue in Midtown West		1	1	0			9-Apr-15		0	Miron Properties	Joseph Lucchese			
http://streeteasy.com/rental/1506652	Rental Unit	2695	Current	Chelsea	Manhattan	All Downtown	151 West 16TH Street	#3D	Manhattan	10011	NY	151 West 16th Street in Chelsea	500	0.5	1	2.5			9-Apr-15		0	Manhattan Connection	Yosef Bublil			
http://streeteasy.com/rental/1506612	Rental Unit	2745	Current	Lower East Side	Manhattan	All Downtown	79 Clinton Street	#13	Manhattan	10002	NY	163 Rivington Street in Lower East Side		2	1				9-Apr-15		0	Crosstown Apartments NYC	Justin DiGiulio			
http://streeteasy.com/rental/1506611	Rental Unit	4995	Current	Kips Bay	Manhattan	All Midtown	382 3rd Avenue	#15B	Manhattan	10016	NY	382 Third Avenue in Kips Bay		3	2				9-Apr-15		0	Abington	Abington Leasing			
http://streeteasy.com/rental/1506601	Condo	2900	Current	Midtown East	Manhattan	All Midtown	325 Lexington Avenue	#3A	Manhattan	10016	NY	325 Lexington Avenue in Midtown East	496	0	1	2			9-Apr-15		0	Manhattan Miami Real Estate	Anthony Guerriero			
http://streeteasy.com/rental/1506592	Rental Unit	5200	Current	Central Park South	Manhattan	All Midtown	40 Central Park South	#3F	Manhattan	10019	NY	40 Central Park South in Central Park South	1240	2	2	4			9-Apr-15		0	Douglas Elliman	Catherine Kate Joynt and Katherine Gauthier			
http://streeteasy.com/rental/1506588	Rental Unit	3200	Current	East Village	Manhattan	All Downtown	133 Avenue C	#1B	Manhattan	10009	NY	133 Avenue C in East Village		2	1				9-Apr-15		0	Camhi NYC Realty Inc	Robert Camhi			
http://streeteasy.com/rental/1506586	Rental Unit	3700	Current	Midtown West	Manhattan	All Midtown	500 W. 56th St.	#184	Manhattan	10019	NY	The Westport at 500 West 56th Street in Midtown West		1	1				9-Apr-15		0	Related Rentals	The Westport Leasing Representative			
http://streeteasy.com/rental/1506584	Rental Unit	1900	Current	East Village	Manhattan	All Downtown	403 E 6th ST	#2E	Manhattan	10009	NY	100 First Avenue in East Village		0	1				9-Apr-15		0	MNS	Zaghir Ahmed and Samuel-Christophe Tedjasukmana			
http://streeteasy.com/rental/1506581	Co-op	3200	Current	Midtown South	Manhattan	All Midtown	244 Madison Ave	#3L	Manhattan	10016	NY	244 Madison Avenue in Midtown South		1	1	3			9-Apr-15		0	City Connections Realty	Laurie Klugman			
http://streeteasy.com/rental/1506580	Rental Unit	3000	Current	Tribeca	Manhattan	All Downtown	74 Leonard Street	#3D	Manhattan	10013	NY	74 Leonard Street in Tribeca		0	1	1			9-Apr-15		0	Mason Real Estate	Zachary Subarsky			
http://streeteasy.com/rental/1506579	Rental Unit	5885	Current	Chelsea	Manhattan	All Downtown	105 W 29th Street	#41J	Manhattan	10001	NY	Beatrice at 105 West 29th Street in Chelsea	752	1	1				9-Apr-15		0	Equity Residential	Beatrice Leasing Office			
http://streeteasy.com/rental/1506573	Condop	3000	Current	East Village	Manhattan	All Downtown	111 Third Avenue	#9A	Manhattan	10003	NY	111 Third Avenue in East Village		0.5	1				9-Apr-15		0	Town Residential	Joseph Snyder and Elaine Mayers			
http://streeteasy.com/rental/1506568	Rental Unit	1825	Current	West Chelsea	Manhattan	All Downtown	409 west 24th	#5	Manhattan	10011	NY	409 West 24th Street in West Chelsea		1	1	2			9-Apr-15		0	"David M. Atkinson, LREB"	David Atkinson			
http://streeteasy.com/rental/1506565	Townhouse	2995	Current	Murray Hill	Manhattan	All Midtown	137 east 35th	#2R	Manhattan	10016	NY	137 East 35th Street in Murray Hill		1	1				9-Apr-15		0	Green Line Realty	Steve Merlesena			
http://streeteasy.com/rental/1506560	Townhouse	2650	Current	West Village	Manhattan	All Downtown	19 Barrow Street	#4	Manhattan	10014	NY	19 Barrow Street in West Village		0	1	0			9-Apr-15		0	Point NYC	Izik Lachmani			
http://streeteasy.com/rental/1506561	Townhouse	3350	Current	West Village	Manhattan	All Downtown	19 Barrow Street	#3	Manhattan	10014	NY	19 Barrow Street in West Village		1	1	3			9-Apr-15		0	Point NYC	Izik Lachmani			
http://streeteasy.com/rental/1506562	Townhouse	2650	Current	West Village	Manhattan	All Downtown	19 Barrow Street	#1	Manhattan	10014	NY	19 Barrow Street in West Village		0	1	3			9-Apr-15		0	Point NYC	Izik Lachmani			
http://streeteasy.com/rental/1506559	Townhouse	2650	Current	West Village	Manhattan	All Downtown	19 Barrow Street	#2	Manhattan	10014	NY	19 Barrow Street in West Village		0	1	0			9-Apr-15		0	Point NYC	Izik Lachmani			
